#---it--------t----------dt-------rhomax--------rhom----------urms-----umax-----ruy2m------jmax------jrms------brms------amax-----Azmid_max-----Azmid_ymax-------azpt----------azp2-----
 130000     1.38773    1.065E-05  0.0061  1.001561701515654  0.03156  0.28645  0.000550 3.101E+02 1.609E+01 5.402E-01 1.589E-01  9.875513E-03  1.588855E-01  7.628159E-04  7.628159E-04
 135000     1.44100    1.065E-05  0.0061  1.001561708549387  0.03189  0.28563  0.000544 3.103E+02 1.606E+01 5.394E-01 1.589E-01  1.028937E-02  1.588753E-01  7.616069E-04  7.616069E-04
 140000     1.49427    1.065E-05  0.0061  1.001561715853913  0.03232  0.28572  0.000543 3.103E+02 1.602E+01 5.385E-01 1.589E-01  1.070344E-02  1.588651E-01  7.600506E-04  7.600506E-04
 145000     1.54755    1.065E-05  0.0061  1.001561733356651  0.03281  0.28642  0.000546 3.103E+02 1.598E+01 5.376E-01 1.589E-01  1.111744E-02  1.588549E-01  7.580728E-04  7.580728E-04
 150000     1.60082    1.065E-05  0.0060  1.001561729526052  0.03335  0.28752  0.000552 3.102E+02 1.594E+01 5.367E-01 1.588E-01  1.153129E-02  1.588447E-01  7.554051E-04  7.554051E-04
 155000     1.65409    1.065E-05  0.0060  1.001561736771651  0.03390  0.28891  0.000561 3.101E+02 1.591E+01 5.358E-01 1.588E-01  1.194510E-02  1.588345E-01  7.520381E-04  7.520381E-04
 160000     1.70735    1.065E-05  0.0060  1.001561743100019  0.03446  0.29016  0.000572 3.102E+02 1.588E+01 5.349E-01 1.588E-01  1.235874E-02  1.588244E-01  7.478565E-04  7.478565E-04
 165000     1.76062    1.065E-05  0.0060  1.001561748166153  0.03499  0.29139  0.000583 3.102E+02 1.586E+01 5.340E-01 1.588E-01  1.277226E-02  1.588142E-01  7.428189E-04  7.428189E-04
 170000     1.81388    1.065E-05  0.0060  1.001561758053849  0.03549  0.29329  0.000594 3.104E+02 1.585E+01 5.331E-01 1.588E-01  1.318590E-02  1.588040E-01  7.370008E-04  7.370008E-04
 175000     1.86714    1.065E-05  0.0060  1.001561764554506  0.03594  0.29602  0.000604 3.107E+02 1.584E+01 5.322E-01 1.588E-01  1.359978E-02  1.587939E-01  7.305505E-04  7.305505E-04
 180000     1.92039    1.065E-05  0.0060  1.001561774507410  0.03635  0.29830  0.000612 3.111E+02 1.584E+01 5.313E-01 1.588E-01  1.401389E-02  1.587838E-01  7.237028E-04  7.237028E-04
 185000     1.97364    1.065E-05  0.0060  1.001561782423124  0.03670  0.30050  0.000618 3.115E+02 1.585E+01 5.304E-01 1.588E-01  1.442828E-02  1.587737E-01  7.166820E-04  7.166820E-04
 190000     2.02688    1.065E-05  0.0060  1.001561791926263  0.03700  0.30201  0.000621 3.121E+02 1.586E+01 5.295E-01 1.588E-01  1.484328E-02  1.587636E-01  7.097650E-04  7.097650E-04
 195000     2.08013    1.065E-05  0.0060  1.001561801360867  0.03726  0.30309  0.000621 3.127E+02 1.588E+01 5.286E-01 1.588E-01  1.525892E-02  1.587535E-01  7.031495E-04  7.031495E-04
 200000     2.13337    1.065E-05  0.0060  1.001561809447521  0.03745  0.30350  0.000619 3.133E+02 1.589E+01 5.277E-01 1.587E-01  1.567521E-02  1.587434E-01  6.969917E-04  6.969917E-04
 205000     2.18661    1.065E-05  0.0059  1.001561818994125  0.03760  0.30356  0.000615 3.139E+02 1.591E+01 5.268E-01 1.587E-01  1.609211E-02  1.587333E-01  6.913807E-04  6.913807E-04
 210000     2.23985    1.065E-05  0.0060  1.001561827376086  0.03770  0.30304  0.000609 3.144E+02 1.593E+01 5.259E-01 1.587E-01  1.650987E-02  1.587233E-01  6.863100E-04  6.863100E-04
 215000     2.29310    1.065E-05  0.0059  1.001561833708696  0.03774  0.30219  0.000602 3.150E+02 1.594E+01 5.250E-01 1.587E-01  1.692839E-02  1.587132E-01  6.816701E-04  6.816701E-04
